Symbol,Name
BTC,Bitcoin
ETH,Ethereum
USDT,Tether
BNB,BNB
USDC,USD Coin
XRP,XRP
ADA,Cardano
BUSD,Binance USD
MATIC,Polygon
DOGE,Dogecoin
SOL,Solana
DOT,Polkadot
SHIB,Shiba Inu
LTC,Litecoin
TRX,TRON
AVAX,Avalanche
UNI,Uniswap
DAI,Dai
WBTC,Wrapped Bitcoin
ATOM,Cosmos
LINK,Chainlink
FIL,Filecoin
LEO,UNUS SED LEO
ETC,Ethereum Classic
OKB,OKB
XMR,Monero
TON,Toncoin
BCH,Bitcoin Cash
LDO,Lido DAO
XLM,Stellar
HBAR,Hedera
APT,Aptos
ICP,Internet Computer
NEAR,NEAR Protocol
VET,VeChain
APE,ApeCoin
CRO,Cronos
ALGO,Algorand
QNT,Quant
GRT,The Graph
FTM,Fantom
EOS,EOS
FLOW,Flow
MANA,Decentraland
EGLD,MultiversX
AAVE,Aave
BIT,BitDAO
AXS,Axie Infinity
THETA,Theta Network
SAND,The Sandbox
XTZ,Tezos
RPL,Rocket Pool
LUNC,Terra Classic
TUSD,TrueUSD
CHZ,Chiliz
KLAY,Klaytn
CRV,Curve DAO Token
KCS,KuCoin Token
MINA,Mina
USDP,Pax Dollar
IMX,ImmutableX
HT,Huobi Token
BSV,Bitcoin SV
FXS,Frax Share
CAKE,PancakeSwap
DASH,Dash
ZEC,Zcash
NEO,Neo
MKR,Maker
USDD,USDD
MIOTA,IOTA
XEC,eCash
BTT,BitTorrent-New
GMX,GMX
SNX,Synthetix
OP,Optimism
TWT,Trust Wallet Token
GUSD,Gemini Dollar
LRC,Loopring
RUNE,THORChain
STX,Stacks
OSMO,Osmosis
ZIL,Zilliqa
BLUR,Blur
AGIX,SingularityNET
BNX,BinaryX
GT,GateToken
ENJ,Enjin Coin
PAXG,PAX Gold
CVX,Convex Finance
DYDX,dYdX
1INCH,1inch Network
RNDR,Render Token
BAT,Basic Attention Token
AR,Arweave
ETHW,EthereumPoW
ASTR,Astar
WOO,WOO Network
ROSE,Oasis Network
COMP,Compound
CSPR,Casper
FEI,Fei USD
NEXO,Nexo
MAGIC,MAGIC
LUNA,Terra
HNT,Helium
CELO,Celo
KSM,Kusama
KAVA,Kava
RVN,Ravencoin
HOT,Holo
BONE,Bone ShibaSwap
XEM,NEM
XDC,XDC Network
DCR,Decred
T,Threshold
TFUEL,Theta Fuel
FET,Fetch.ai
CFX,Conflux
BAL,Balancer
ONE,Harmony
SSV,ssv.network
JASMY,JasmyCoin
QTUM,Qtum
AUDIO,Audius
GALA,Gala
ENS,Ethereum Name Service
SUSHI,SushiSwap
ANKR,Ankr
INJ,Injective
XCN,Onyxcoin
BTG,Bitcoin Gold
GLMR,Moonbeam
IOTX,IoTeX
OCEAN,Ocean Protocol
WAVES,Waves
XCH,Chia
MASK,Mask Network
GNO,Gnosis
GMT,STEPN
KDA,Kadena
USTC,TerraClassicUSD
YFI,yearn.finance
JST,JUST
BAND,Band Protocol
GLM,Golem
SKL,SKALE
ELON,Dogelon Mars
SC,Siacoin
LPT,Livepeer
OMG,OMG Network
FLUX,Flux
RSR,Reserve Rights
ICX,ICON
BICO,Biconomy
